Product_Category,SoldBy,Publisher,Title,Author,KindleeBooks SalesRank,SalePrice,TotalReviews,AverageRating,Preorder,DatePublished,Format,IndiePublisher,SmallMediumPublisher,AmazonPublsher,BigFivePublisher,UncategorizedSingle-AuthorPublisher,Pages,DailyUnitsSold,DailyGrossSales ,DailyAmazonRevenue,DailyPublisherRevenue,DailyAuthorRevenue,Category
Print,Simon and Schuster Digital Sales Inc,publisher00002437,title00709804,NA,41953,7.99,32,4.3,0,10/1/2006,Paperback,0,0,0,1,0,288,3,$26.54 ,$13.27 ,$11.15 ,$2.12 ,0
Print,"Amazon Digital Services,  Inc.",publisher00005382,title00639066,author00346452,41959,27.34,74,4.7,0,2/20/2009,Paperback,0,1,0,0,0,384,3,$90.81 ,$7.86 ,$69.68 ,$13.27 ,0
Print,HarperCollins Publishers,publisher00000061,title00609421,author00132911,41964,12.34,95,4.6,0,10/17/1989,Paperback,0,0,0,1,0,480,3,$40.98 ,$12.79 ,$23.68 ,$4.51 ,0
Print,"Amazon Digital Services,  Inc.",publisher00066100,title00708850,author00190176,41969,14.69,34,4.6,0,10/7/2014,Paperback,0,1,0,0,0,128,3,$48.78 ,$15.61 ,$27.87 ,$5.31 ,0
Print,Random House LLC,publisher00008945,title00667320,author00108160,41970,7.58,18,5,0,2/11/2014,Paperback,0,0,0,1,0,40,3,$25.17 ,$11.90 ,$11.14 ,$2.12 ,0
Print,Simon and Schuster Digital Sales Inc,publisher00000099,title00613920,author00128192,41977,10.71,178,4.7,0,8/2/2001,Paperback,0,0,0,1,0,224,3,$35.56 ,$10.66 ,$20.92 ,$3.98 ,0
Print,"Amazon Digital Services,  Inc.",publisher00001217,title00694650,author00110184,41978,3.99,48,4.6,0,6/26/2007,Paperback,0,1,0,0,0,32,3,$13.25 ,$6.62 ,$5.56 ,$1.06 ,0
Print,"Amazon Digital Services,  Inc.",publisher00073796,title00597944,author00097506,41979,17.09,502,4.8,0,12/31/2013,Paperback,1,0,0,0,0,402,3,$56.74 ,$37.78 ,$0.00 ,$18.96 ,0
Print,Simon and Schuster Digital Sales Inc,publisher00002412,title00702788,author00151737,41979,7.99,78,4.7,0,9/1/1985,Paperback,0,0,0,1,0,32,3,$26.53 ,$13.26 ,$11.14 ,$2.12 ,0
Print,"Amazon Digital Services,  Inc.",publisher00001217,title00642895,author00325897,41985,11.7,3,3.3,0,4/19/2012,Paperback,0,1,0,0,0,64,3,$38.84 ,$14.03 ,$20.84 ,$3.97 ,0
Print,Penguin Group (USA) LLC,publisher00000243,title00651152,author00102538,41987,13.03,27,4.3,0,8/31/2010,Paperback,0,0,0,1,0,288,3,$43.25 ,$15.04 ,$23.70 ,$4.51 ,0
Print,"Amazon Digital Services,  Inc.",publisher00002336,title00734084,author00130105,41993,12.98,68,3.3,0,4/14/2015,Paperback,0,1,0,0,0,336,3,$43.08 ,$14.90 ,$23.67 ,$4.51 ,0
Print,Penguin Group (USA) LLC,publisher00036335,title00625564,author00116699,41995,6.64,121,4.4,0,7/1/2000,Paperback,0,0,0,1,0,216,3,$22.04 ,$10.44 ,$9.74 ,$1.86 ,0
Print,Random House LLC,publisher00000129,title00685205,author00109783,41999,14.53,86,4.7,0,4/3/2012,Paperback,0,0,0,1,0,368,3,$48.22 ,$16.78 ,$26.41 ,$5.03 ,0
Print,"Amazon Digital Services,  Inc.",publisher00002550,title00610687,author00133462,42001,20.76,60,4.2,0,9/3/2013,Hardcover,0,1,0,0,0,288,3,$68.89 ,$19.20 ,$34.79 ,$14.91 ,0
Print,"Amazon Digital Services,  Inc.",publisher00018050,title00694926,author00176534,42002,11.85,59,4.8,0,1/29/1987,Paperback,0,1,0,0,0,248,3,$39.32 ,$12.78 ,$22.30 ,$4.25 ,0
Print,"Amazon Digital Services,  Inc.",publisher00052942,title00731634,author00363025,42004,5.95,106,3.9,0,9/1/2011,Hardcover,0,0,0,0,1,24,3,$19.74 ,$9.87 ,$6.91 ,$2.96 ,0
Print,Penguin Group (USA) LLC,publisher00036335,title00706998,author00111734,42006,5.39,205,4.3,0,6/24/2010,Paperback,0,0,0,1,0,181,3,$17.88 ,$7.95 ,$8.35 ,$1.59 ,0
Print,"Amazon Digital Services,  Inc.",publisher00014538,title00682424,author00353346,42007,24.99,5,5,0,7/1/2015,Paperback,0,1,0,0,0,250,3,$82.92 ,$41.46 ,$34.83 ,$6.63 ,0
Print,"Amazon Digital Services,  Inc.",publisher00001668,title00629517,author00104462,42008,15.18,76,4.8,0,3/1/2011,Paperback,0,1,0,0,0,224,3,$50.37 ,$22.25 ,$23.62 ,$4.50 ,0
Print,Hachette Book Group,publisher00000198,title00643015,author00318782,42012,9.32,75,3.8,0,12/1/2007,Paperback,0,0,0,1,0,144,3,$30.92 ,$11.03 ,$16.71 ,$3.18 ,0
Print,"Amazon Digital Services,  Inc.",publisher00011533,title00618329,author00343855,42014,95.23,0,0,0,10/1/2015,Paperback,0,1,0,0,0,462,3,$315.93 ,$150.07 ,$139.32 ,$26.54 ,0
Print,"Amazon Digital Services,  Inc.",publisher00023486,title00648366,author00118981,42015,15.45,25,4.4,0,5/1/2005,Paperback,0,1,0,0,0,328,3,$51.25 ,$18.16 ,$27.80 ,$5.29 ,0
Print,"Amazon Digital Services,  Inc.",publisher00000954,title00685770,author00191964,42016,10.24,25,4.3,0,11/29/2015,Paperback,1,1,0,0,0,282,3,$33.97 ,$24.16 ,$0.00 ,$9.81 ,0
Print,HarperCollins Publishers,publisher00000754,title00728825,author00362476,42019,5.99,28,4.6,0,9/24/1980,Paperback,0,0,0,1,0,192,3,$19.87 ,$9.93 ,$8.35 ,$1.59 ,0
Print,"Amazon Digital Services,  Inc.",publisher00002280,title00645208,author00119308,42026,19.2,114,4.4,0,9/1/1999,Paperback,0,1,0,0,0,576,3,$63.68 ,$22.30 ,$34.76 ,$6.62 ,0
Print,"Amazon Digital Services,  Inc.",publisher00059918,title00622788,author00165453,42035,8.58,64,4.8,0,1/6/2015,Paperback,0,1,0,0,0,248,3,$28.45 ,$11.89 ,$13.91 ,$2.65 ,0
Print,"Amazon Digital Services,  Inc.",publisher00000549,title00617926,author00320377,42037,11.24,12,4.8,0,11/10/2015,Paperback,0,1,0,0,0,144,3,$37.27 ,$10.83 ,$22.21 ,$4.23 ,0
Print,Simon and Schuster Digital Sales Inc,publisher00000917,title00654044,author00094888,42040,12.73,120,4.2,0,7/13/2010,Paperback,0,0,0,1,0,336,3,$42.21 ,$15.68 ,$22.28 ,$4.24 ,0
Print,Hachette Book Group,publisher00000198,title00729462,author00362607,42041,13.75,39,4.9,0,9/3/1991,Hardcover,0,0,0,1,0,32,3,$45.59 ,$17.41 ,$19.73 ,$8.45 ,0
Print,"Amazon Digital Services,  Inc.",publisher00001933,title00656742,author00348850,42043,13.29,29,4.8,0,6/27/2005,Paperback,0,1,0,0,0,160,3,$44.06 ,$17.62 ,$22.21 ,$4.23 ,0
Print,Macmillan,publisher00000385,title00691588,author00104570,42044,13.99,103,4.5,0,10/1/2000,Paperback,0,0,0,1,0,528,3,$46.38 ,$13.26 ,$27.82 ,$5.30 ,0
Print,Macmillan,publisher00005287,title00674782,author00096105,42047,7.77,26,4.7,0,1/13/2015,Board book,0,0,0,1,0,,3,$25.76 ,$10.86 ,$11.92 ,$2.98 ,0
Print,Hachette Book Group,publisher00002351,title00647025,author00108191,42050,13.72,306,4.7,0,7/30/2013,Paperback,0,0,0,1,0,272,3,$45.48 ,$18.96 ,$22.28 ,$4.24 ,0
Print,"Amazon Digital Services,  Inc.",publisher00073833,title00598450,author00341550,42054,7.95,876,4.3,0,9/6/2013,Paperback,0,1,0,0,0,148,3,$26.35 ,$13.18 ,$11.07 ,$2.11 ,0
Print,Simon and Schuster Digital Sales Inc,publisher00000917,title00649175,author00094241,42055,13.89,116,3.8,0,3/1/2006,Paperback,0,0,0,1,0,464,3,$46.04 ,$17.87 ,$23.67 ,$4.51 ,0
Print,"Amazon Digital Services,  Inc.",publisher00074700,title00707119,author00107164,42056,7.98,188,4,0,5/1/1995,Mass Market Paperback,0,0,0,0,1,624,3,$26.45 ,$13.21 ,$11.65 ,$1.59 ,0
Print,"Amazon Digital Services,  Inc.",publisher00074492,title00690961,author00342878,42059,7.95,54,4.9,0,3/16/2009,Paperback,0,0,0,0,1,48,3,$26.35 ,$13.17 ,$11.07 ,$2.11 ,0
Print,"Amazon Digital Services,  Inc.",publisher00002411,title00639287,author00325023,42061,4.44,0,0,0,1/5/2016,Paperback,0,1,0,0,0,48,3,$14.71 ,$6.45 ,$6.95 ,$1.32 ,0
Print,Penguin Group (USA) LLC,publisher00000377,title00595562,author00098684,42064,12.97,189,4.6,0,4/28/2015,Paperback,0,0,0,1,0,304,3,$42.98 ,$16.47 ,$22.27 ,$4.24 ,0
Print,Simon and Schuster Digital Sales Inc,publisher00004062,title00616501,author00170151,42065,14,202,4.3,0,9/1/2015,Hardcover,0,0,0,1,0,336,3,$46.39 ,$0.00 ,$32.48 ,$13.92 ,0
Print,Hachette Book Group,publisher00000012,title00633248,author00126461,42066,10.76,125,4.6,0,1/6/2012,Paperback,0,0,0,1,0,336,3,$35.66 ,$9.15 ,$22.27 ,$4.24 ,0
Print,"Amazon Digital Services,  Inc.",publisher00002897,title00611700,author00097860,42067,11.02,100,4.4,0,3/3/2012,Paperback,0,1,0,0,0,208,3,$36.52 ,$15.06 ,$18.02 ,$3.43 ,0
Print,Simon and Schuster Digital Sales Inc,publisher00000278,title00607988,author00152182,42069,40.79,115,4.4,0,4/28/2015,Hardcover,0,0,0,1,0,560,3,$135.16 ,$35.75 ,$69.59 ,$29.82 ,0
Print,HarperCollins Publishers,publisher00006413,title00616054,author00190834,42077,7.99,31,4.9,0,10/4/2005,Paperback,0,0,0,1,0,224,3,$26.47 ,$13.24 ,$11.12 ,$2.12 ,0
Print,"Amazon Digital Services,  Inc.",publisher00001217,title00653666,NA,42080,4,289,4.7,0,7/1/2002,Paperback,0,1,0,0,0,160,3,$13.25 ,$6.63 ,$5.57 ,$1.06 ,0
Print,Random House LLC,publisher00001824,title00689025,author00097222,42083,14.48,77,4.1,0,2/13/2001,Hardcover,0,0,0,1,0,141,3,$47.97 ,$13.18 ,$24.35 ,$10.43 ,0
Print,"Amazon Digital Services,  Inc.",publisher00000954,title00601677,author00243685,42084,15.48,39,4.1,0,4/27/2015,Paperback,1,1,0,0,0,70,3,$51.28 ,$18.69 ,$0.00 ,$32.59 ,0
Print,HarperCollins Publishing,publisher00000172,title00693221,author00095755,42086,28.18,20,4.8,0,3/29/2010,Paperback,0,0,0,1,0,233,3,$93.34 ,$32.08 ,$51.46 ,$9.80 ,0
Print,"Amazon Digital Services,  Inc.",publisher00007809,title00662566,author00095586,42087,13.24,30,4.2,0,5/1/2009,Paperback,0,1,0,0,0,192,3,$43.85 ,$15.78 ,$23.58 ,$4.49 ,0
Print,HarperCollins Publishers,publisher00000754,title00689487,author00249687,42092,3.99,69,4.7,0,2/18/2003,Paperback,0,0,0,1,0,64,3,$13.21 ,$6.61 ,$5.55 ,$1.06 ,0
Print,W. W. Norton & Company,publisher00000520,title00601858,author00105521,42093,10.55,167,3.6,0,8/17/1999,Paperback,0,1,0,0,0,255,3,$34.94 ,$11.84 ,$19.40 ,$3.70 ,0
Print,"Amazon Digital Services,  Inc.",publisher00002551,title00624787,author00242785,42094,18.85,11,4.3,0,3/11/2009,Paperback,0,1,0,0,0,151,3,$62.43 ,$21.11 ,$34.70 ,$6.61 ,0
Print,"Amazon Digital Services,  Inc.",publisher00003502,title00625446,author00321976,42098,13.58,23,4.8,0,3/25/2014,Paperback,0,1,0,0,0,176,3,$44.97 ,$11.94 ,$27.75 ,$5.29 ,0
Print,"Amazon Digital Services,  Inc.",publisher00015282,title00601491,author00340353,42102,35.04,12,4.9,0,10/13/2015,Hardcover,0,1,0,0,0,320,3,$116.03 ,$16.69 ,$69.54 ,$29.80 ,0
Print,"Amazon Digital Services,  Inc.",publisher00074249,title00605603,author00152204,42104,23,71,4.7,0,10/16/2012,Paperback,0,0,0,0,1,394,3,$76.15 ,$38.08 ,$31.98 ,$6.09 ,0
Print,Macmillan,publisher00026628,title00657526,author00136066,42105,13.04,29,4.7,0,1/6/2015,Paperback,0,0,0,1,0,256,3,$43.18 ,$10.10 ,$27.78 ,$5.29 ,0
Print,Random House LLC,publisher00002408,title00705468,author00096068,42108,14.1,40,4.4,0,8/23/2005,Hardcover,0,0,0,1,0,14,3,$46.68 ,$5.38 ,$28.91 ,$12.39 ,0
Print,"Amazon Digital Services,  Inc.",publisher00036537,title00599717,author00243636,42112,12.68,14,4.7,0,4/21/2015,Paperback,0,1,0,0,0,128,3,$41.98 ,$17.16 ,$20.84 ,$3.97 ,0
